"uid","wave","wvsccode","year","region","censusd","censusr","raceethnic","white","black","hispanic","party","gop","strongleader","armyrule","expertdecision","havedem","demtaxrich","demrelig","demchooseleaders","demaidunemp","demarmycoup","demcivilrights","demeconomy","demcriminals","dempeoplelaws","demwomenrights","demincome","demimp","democraticness","age","female","unemployed","satisfin","ideo","socialclass","incscale","educat","hsedorless","lessthanhs","collegeed","educatr","emancvalues","kid_ind","kid_imag","kid_obed","laut","se_laut","menjob","menleaders","boycollege","lequ","se_lequ","hj","aj","dj","lcho","se_lcho","acsay","apsay","lvoi","se_lvoi","lemanc","sldummy","hddummy","z_sl","z_age","z_ideo","z_lemanc","z_laut","z_lequ","z_lcho","z_lvoi","z_incscale"
31,3,840,1995,5,"West South Central","South","Black",0,1,0,"Independent",0,3,3,1,3,,,,,,,,,,,,,,18,0,0,4,2,1,4,3,1,1,0,"Did not finish HS",0.311722,0,0,0,-1.12733674839528,0.684164779269578,3,2,3,-0.580529130134545,0.470595119156625,,4,3,-0.4802712015516,0.419289023245593,2,0,0.799068836988992,0.696095265470042,-0.347267060773108,1,0,0.696962140587202,-0.843509045117999,-0.725153578104604,-0.256480716181808,-0.734658740298445,-0.193527467845661,-0.13788635504733,0.399936643402104,-0.30017082424634
32,3,840,1995,5,"West South Central","South","Black",0,1,0,"Democrat",0,2,3,1,4,,,,,,,,,,,,,,50,1,0,3,3,1,3,6,1,0,0,"HS grad",0.522037,0,0,1,0.125631677910071,0.702699549491361,2,3,3,-0.303593230664265,0.462428387961549,1,5,10,0.226426421269719,0.437633097061324,0,3,-0.374409573005362,0.709746375045413,-0.0814861761224591,0,0,0.128807631789148,0.0453955383497944,-0.464297329237733,0.0141527849566315,0.18076307902141,-0.039452653927551,0.262508482293807,-0.397371984110741,-0.500915521935817
33,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,"Republican",1,1,3,1,2,,,,,,,,,,,,,,38,0,0,9,,2,7,3,1,1,0,"Did not finish HS",0.63287,1,0,1,0.471476466386469,0.757386361734995,2,2,2,-1.54103484584936,0.304364701564614,1,5,10,0.226426421269719,0.437633097061324,2,2,1.07704355996514,0.675698282198414,0.0584779004429933,0,1,-0.439346877008906,-0.287943680450628,,0.156672319889727,0.433438133573981,-0.727910116318156,0.262508482293807,0.588803897347104,0.302063268822093
34,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,,,2,1,1,4,,,,,,,,,,,,,,48,1,0,6,,3,3,3,1,1,0,"Did not finish HS",0.41344,0,0,1,0.125631677910071,0.702699549491361,2,,3,-0.363854976577057,0.491537834166327,2,5,7,0.108037912023996,0.361456910981492,0,1,-0.707339238667621,0.723983984503147,-0.209381156327653,0,0,0.128807631789148,-0.0101609981169427,,-0.116077296550017,0.18076307902141,-0.0729796083803817,0.195432909415467,-0.623577845698569,-0.500915521935817
35,3,840,1995,,,,"White",1,0,0,"Democrat",0,2,2,2,3,,,,,,,,,,,,,,37,1,0,2,5,1,8,7,0,0,0,"Some college",0.628806,0,1,1,0.413389421389005,0.748155754372448,2,3,3,-0.303593230664265,0.462428387961549,,2,10,0.107818675846348,0.539888171555432,1,2,0.338874257656122,0.562154073339517,0.139122281056802,0,0,0.128807631789148,-0.315721948683997,0.0574151684960099,0.238789102296195,0.390999595384086,-0.039452653927551,0.195308696412828,0.087261859348337,0.50280796651157
36,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,"Democrat",0,2,2,2,3,,,,,,,,,,,,,,45,1,0,6,4,2,7,8,0,0,1,"College educated",0.581389,1,0,1,0.471476466386469,0.757386361734995,2,3,3,-0.303593230664265,0.462428387961549,4,6,8,0.459906065552932,0.358524726789431,0,2,-0.508587718237694,0.705259242403882,0.0298003957593602,0,0,0.128807631789148,-0.0934958028170483,-0.203441080370862,0.127471222502128,0.433438133573981,-0.039452653927551,0.394791429308729,-0.488538035319067,0.302063268822093
37,3,840,1995,6,"East North Central","Midwest","White",1,0,0,"Democrat",0,1,1,1,4,,,,,,,,,,,,,,47,0,0,5,6,1,7,4,1,0,0,"HS grad",0.62375,1,1,1,0.806936696738806,0.807703825651919,2,3,2,-1.42519158266288,0.312855868339357,2,9,10,1.10245114886767,0.435971280457844,0,1,-0.707339238667621,0.723983984503147,-0.0557857439310076,0,0,-0.439346877008906,-0.0379392663503112,0.318271417362881,0.040322454584626,0.67852620437566,-0.663460078409516,0.758839256569073,-0.623577845698569,0.302063268822093
38,3,840,1995,,,,"White",1,0,0,"Democrat",0,1,1,1,3,,,,,,,,,,,,,,32,1,0,5,4,3,8,7,0,0,0,"Some college",0.696264,1,0,1,0.471476466386469,0.757386361734995,2,,3,-0.363854976577057,0.491537834166327,4,3,6,-0.155960709370663,0.343011421855059,2,3,1.27921546321946,0.704466352955178,0.307719060914553,0,0,-0.439346877008906,-0.454613289850839,-0.203441080370862,0.410464115243589,0.433438133573981,-0.0729796083803817,0.0458587752198509,0.726167653963756,0.50280796651157
39,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,"Democrat",0,2,3,1,4,,,,,,,,,,,,,,50,0,0,0,4,3,8,8,0,0,1,"College educated",0.401806,0,1,1,0.413389421389005,0.748155754372448,1,1,3,-0.711960680209645,0.474497754547559,7,1,10,0.187611052445011,0.530670228852477,0,1,-0.707339238667621,0.723983984503147,-0.204574861260813,0,0,0.128807631789148,0.0453955383497944,-0.203441080370862,-0.111183248345033,0.390999595384086,-0.26665013507488,0.240516794781318,-0.623577845698569,0.50280796651157
40,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,"Republican",1,3,3,2,4,,,,,,,,,,,,,,42,0,0,6,6,1,6,4,1,0,0,"HS grad",0.300093,0,0,0,-1.12733674839528,0.684164779269578,1,1,1,-2.44725129518392,0.446668057258937,2,4,7,-0.0730351349263738,0.353812611858603,2,2,1.07704355996514,0.675698282198414,-0.642644904635108,1,0,0.696962140587202,-0.176830607517154,0.318271417362881,-0.55725155659861,-0.734658740298445,-1.23208863224125,0.0928420546576491,0.588803897347104,0.101318571132615
